路径编号,业务ID,业务组名称,路径编码
1,"042E0212
042E0219
042E0223","检索提取
检索提取
结束",BRT_0404
2,"042E0219
042E0219
040O0211
040O0238
040O0238
040O0239
040O0293
040O0200
042E0200
042E0200
042E0223","检索提取
检索提取
下一步值机
重打牌
重打牌
重打牌
航班详情
下一步值机
检索提取
检索提取
结束",-
3,"042E0212
042E0223","检索提取
结束",BRT_0404
4,"042E0212
042E0150
042E0200
042E0200
042E0223","检索提取
航班详情
检索提取
检索提取
结束",BRT_0404
5,"042E0201
042E0235
042E0200
042E0235
042E0185
042E0235
040O0211
040O0210
040O0250
040O0293
040O0200
040O0210
040O0238
040O0238
040O0238
040O0264
040O0293
040O0200
040O0210
040O0250
040O0264
040O0210
040O0282
040T0101
040O0200
040O0211
040O020F
040O0211
040O020F
040O0250
040O0264
040O0293
040O0200
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
里程查询
检索提取
下一步值机
检索提取
里程查询
航班详情
下一步值机
检索提取
重打牌
重打牌
重打牌
值机接收
航班详情
下一步值机
检索提取
里程查询
值机接收
检索提取
旅客升降舱
旅客升降舱
下一步值机
下一步值机
行李交运
下一步值机
行李交运
里程查询
值机接收
航班详情
下一步值机
检索提取
检索提取
结束",-
6,"042E0200
042E0214
042E0235
042E0200
042E0235
042E0200
042E0235
042E0212
042E0219
042E0219
042E0212
042E0219
042E0219
040O0211
040O0211
040O020B
040O0211
040O020B
040O0211
040O020B
040O0211
040O020B
040O020B
040O0211
040O0211
040O020F
042E0200
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
选座接收
下一步值机
选座接收
下一步值机
选座接收
选座接收
下一步值机
下一步值机
行李交运
检索提取
结束",-
7,"042E0200
042E0223","检索提取
结束",-
8,"042E0201
042E0235
042E0200
042E0235
042E0185
042E0235
040O0211
040O0238
040O0238
040O0211
040O020F
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
里程查询
检索提取
下一步值机
重打牌
重打牌
下一步值机
行李交运
下一步值机
行李交运
检索提取
检索提取
结束",-
9,"042E0200
042E0200
042E0213
042E0214
042E0235
040O0211
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
检索提取
检索提取
结束",-
10,"042E0200
042E0213
042E0235
042E0200
042E0213
042E0235
042E0200
042E0213
042E0235
042E0212
042E0212
042E0219
042E0212
042E0219
042E0219
040O0211
040O020A
040O020A
040O0211
040O020A
040O020A
040O0211
040O020A
040O020A
040O0211
040O020A
040O020A
040O0211
042E0200
01010903","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
值机接收
值机接收
下一步值机
值机接收
值机接收
下一步值机
值机接收
值机接收
下一步值机
值机接收
值机接收
下一步值机
检索提取
结束",BRT_040V
