路径编号,业务ID,业务组名称,路径编码
2415,"042E0115
042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
2416,"042E0105
042E0105
042E0150
040P0214
01010915","办理历史
办理历史
航班详情
航班详情
结束",BRT_040N
2417,"042E0115
040O0233
040O0211
040O020B
040O0264
01010915","检索提取
下一步值机
下一步值机
选座接收
值机接收
结束",BRT_0408
2418,"042E0115
042E0115
042E0118
042E0115
042E0115
042E0118
040O0233
040O0211
040O020F
040O020F
042E0121
042E0118
042E0146
042E0146
042E0118
040O0233
040O0211
040O020F
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
行李交运
行李交运
返回
检索提取
重打牌
重打牌
检索提取
下一步值机
下一步值机
行李交运
行李交运
返回
结束",BRT_0402
2419,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
2420,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0102
042E0118
040O0240
042E0118
042E0142
040V0204
042E0121
042E0151
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
座位锁放
返回
结束",BRT_0402
2421,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O020B
040O020B
040O0211
040O020F
040O0211
040O020F
040O0262
040O0293
040O0200
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
行李交运
下一步值机
行李交运
值机接收
航班详情
下一步值机
返回
结束",BRT_0402
2422,"042E0115
042E0115
042E0118
042E0118
042E0146
042E0146
042E0118
040O0233
040O0211
040O020F
040O0293
040O0200
040O0293
040O0200
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
检索提取
下一步值机
下一步值机
行李交运
航班详情
下一步值机
航班详情
下一步值机
返回
结束",BRT_0402
2423,"042E0115
042E0115
042E0118
042E0118
042E0150
042E0121
042E0146
042E0146
042E0117","检索提取
检索提取
检索提取
检索提取
航班详情
返回
重打牌
重打牌
结束",BRT_0402
2424,"042E0115
042E0115
042E0118
042E0118
042E0146
042E0146
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
2425,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
040O0233
040O0211
040O0210
040O0210
040O0210
040O0210
040O0211
040O020B
040O020B
040O0211
040O0210
040O0210
040O0211
040O0211
040O0262
040O0211
040O0210
040O0211
040O020B
040O0262
040O0210
040O0211
040O020B
01010915","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
检索提取
检索提取
检索提取
下一步值机
选座接收
选座接收
下一步值机
检索提取
检索提取
下一步值机
下一步值机
值机接收
下一步值机
检索提取
下一步值机
选座接收
值机接收
检索提取
下一步值机
选座接收
结束",BRT_0408
2426,"042E0115
042E0117","检索提取
结束",BRT_0402
2427,"042E0115
040O0233
040O0211
040O020E
042E0121
042E0117","检索提取
下一步值机
下一步值机
修改座位
返回
结束",BRT_0402
2428,"042E0115
042E0133
042E0117","检索提取
检索提取
结束",BRT_0402
2429,"042E0115
040O0233
040O0211
040O020B
040O0211
040O020F
040O0211
040O020F
040O020F
042E0121
042E0115
042E0118
042E0102
042E0118
040O0233
040O0211
040O020F
040O020F
042E0121
042E0102
042E0118
042E0102
042E0118
042E0102
042E0118
042E0175
040R0301
042E0121
042E0151
042E0121
042E0151
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
下一步值机
行李交运
行李交运
返回
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
行李交运
行李交运
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
行李合并
行李合并
返回
座位锁放
返回
座位锁放
返回
结束",BRT_0402
2430,"042E0115
042E0146
042E0146
042E0146
042E0151
042E0121
040O0240
042E0117","检索提取
重打牌
重打牌
重打牌
座位锁放
返回
检索提取
结束",BRT_0402
2431,"042E0115
042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
2432,"042E0115
040O0233
040O0211
040O020F
040O020F
040O020F
042E0121
040O0240
042E0117","检索提取
下一步值机
下一步值机
行李交运
行李交运
行李交运
返回
检索提取
结束",BRT_0402
2433,"042E0115
040O0233
040O0211
040O020D
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
返回
结束",BRT_0402
2434,"042E0115
042E0117","检索提取
结束",BRT_0402
2435,"042E0115
042E0146
042E0146
040O0233
040O0211
151X0100
151X0101
01010916","检索提取
重打牌
重打牌
下一步值机
下一步值机
公共信息查询
公共信息查询
结束",BRT_0409
2436,"042E0115
042E0100
042E0115
042E0146
042E0146
040O0233
040O0211
040O020F
040O020F
01010915","检索提取
检索提取
检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
行李交运
结束",BRT_0408
2437,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0150
042E0121
042E0100
042E0115
01010916","检索提取
下一步值机
下一步值机
行李交运
返回
航班详情
返回
检索提取
检索提取
结束",BRT_0409
2438,"042E0115
040O0233
040O0211
040O020F
01010903","检索提取
下一步值机
下一步值机
行李交运
结束",BRT_040I
2439,"042E0115
01010916","检索提取
结束",BRT_0409
2440,"042E0115
040O0233
040O0211
040O0288
040O0200
040O020F
042E0121
042E0115
042E0106
042E0106
01010916","检索提取
下一步值机
下一步值机
行李交运
下一步值机
行李交运
返回
检索提取
旅客详情
旅客详情
结束",BRT_0409
2441,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0115
162R0500
162R0501
01010916","检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
值机员综合办理统计
值机员综合办理统计
结束",BRT_0409
2442,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0115
040O0233
040O0211
040O020F
040O020F
040O0225
040O020F
040O020F
042E0121
042E0133
162R0500
162R0501
01010916","检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
下一步值机
下一步值机
行李交运
行李交运
值机接收
行李交运
行李交运
返回
检索提取
值机员综合办理统计
值机员综合办理统计
结束",BRT_0409
2443,"042E0115
040O0240
042E0117","检索提取
检索提取
结束",BRT_0402
2444,"042E0115
042E0137
042F0202
042E0121
162R0500
162R0501
01010916","检索提取
管理旅客备注
管理旅客备注
返回
值机员综合办理统计
值机员综合办理统计
结束",BRT_0409
2445,"042E0115
040O0233
040O0211
040O020F
040O020F
040O020F
042E0121
042E0137
042F0202
01010916","检索提取
下一步值机
下一步值机
行李交运
行李交运
行李交运
返回
管理旅客备注
管理旅客备注
结束",BRT_0409
2446,"042E0115
040O0233
040O0211
040O020E
042E0121
042E0117","检索提取
下一步值机
下一步值机
修改座位
返回
结束",BRT_0402
2447,"042E0115
040O0233
040O0211
040O020B
040O0293
040O0200
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
航班详情
下一步值机
返回
结束",BRT_0402
2448,"042E0115
040O0233
040O0211
040O020F
040O020F
040O0270
042E0121
042E0115
042E0118
042E0117","检索提取
下一步值机
下一步值机
行李交运
行李交运
旅客详情
返回
检索提取
检索提取
结束",BRT_0402
2449,"042E0115
040O0233
040O0211
040O020F
162R0500
162R0501
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
值机员综合办理统计
值机员综合办理统计
返回
结束",BRT_0402
2450,"042E0115
040O0240
042E0117","检索提取
检索提取
结束",BRT_0402
2451,"042E0115
16200100
16200101
01010916","检索提取
业务信息查询
业务信息查询
结束",BRT_0409
2452,"16200100
16200101
01010916","业务信息查询
业务信息查询
结束",BRT_0412
2453,"16200100
16200101
01010916","业务信息查询
业务信息查询
结束",BRT_0412
2454,"042E0115
040O0233
040O0211
040O020F
040O0262
042E0121
042E0115
042E0106
162R0500
162R0501
01010916","检索提取
下一步值机
下一步值机
行李交运
值机接收
返回
检索提取
旅客详情
值机员综合办理统计
值机员综合办理统计
结束",BRT_0409
2455,"042E0102
01010916","检索提取
结束",BRT_0406
2456,"042E0115
042E0117","检索提取
结束",BRT_0402
2457,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
2458,"042E0115
040O0240
01010916","检索提取
检索提取
结束",BRT_0409
2459,"042E0115
042E0117","检索提取
结束",BRT_0402
2460,"042E0115
040O0233
040O0211
040O020B
040O020F
042E0121
162R0500
162R0501
01010916","检索提取
下一步值机
下一步值机
选座接收
行李交运
返回
值机员综合办理统计
值机员综合办理统计
结束",BRT_0409
2461,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
040O0233
040O0211
040O0210
040O0211
040O020B
040O020B
040O0210
040O0211
040O020B
040O020B
040O0211
040O0210
040O020A
040O0210
040O020F
040O0210
040O020F
162R0500
162R0501
042E0121
16200100
16200101
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
下一步值机
选座接收
选座接收
检索提取
下一步值机
选座接收
选座接收
下一步值机
检索提取
值机接收
检索提取
行李交运
检索提取
行李交运
值机员综合办理统计
值机员综合办理统计
返回
业务信息查询
业务信息查询
结束",BRT_0409
2462,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
042E0146
042E0146
042E0118
040O0233
040O0211
040O020F
042E0121
042E0118
040O0233
040O0211
040O0211
040O020F
162R0500
162R0501
042E0121
162R0500
162R0501
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
下一步值机
下一步值机
下一步值机
行李交运
值机员综合办理统计
值机员综合办理统计
返回
值机员综合办理统计
值机员综合办理统计
结束",BRT_0409
2463,"16200100
16200101
01010916","业务信息查询
业务信息查询
结束",BRT_0412
2464,"042E0115
042E0118
040O0233
040O0211
040O0211
040O020B
042E0121
01010916","检索提取
检索提取
下一步值机
下一步值机
下一步值机
选座接收
返回
结束",BRT_0409
2465,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
040O0233
040O0211
040O020B
042E0121
042E0118
042E0146
042E0146
042E0118
042E0146
042E0146
042E0118
040O0233
040O0211
040O020F
042E0121
040O0233
040O0211
040O020F
042E0121
042E0118
040O0233
040O0211
040O020F
042E0121
040O0233
040O0211
040O020F
040O020F
042E0121
042E0133
042E0133
162R0500
162R0501
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
返回
检索提取
重打牌
重打牌
检索提取
重打牌
重打牌
检索提取
下一步值机
下一步值机
行李交运
返回
下一步值机
下一步值机
行李交运
返回
检索提取
下一步值机
下一步值机
行李交运
返回
下一步值机
下一步值机
行李交运
行李交运
返回
检索提取
检索提取
值机员综合办理统计
值机员综合办理统计
结束",BRT_0409
2466,"042E0115
042E0115
042E0118
042E0118
042E0146
042E0146
042E0117","检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
结束",BRT_0402
2467,"042E0115
040O0233
040O0211
040O0211
040O020B
042E0121
042E0115
040O0233
040O0211
040O020F
040O0262
162R0500
162R0501
042E0121
042E0117","检索提取
下一步值机
下一步值机
下一步值机
选座接收
返回
检索提取
下一步值机
下一步值机
行李交运
值机接收
值机员综合办理统计
值机员综合办理统计
返回
结束",BRT_0402
2468,"16200100
16200101
01010916","业务信息查询
业务信息查询
结束",BRT_0412
2469,"042E0115
042E0117","检索提取
结束",BRT_0402
2470,"042E0115
040O0233
040O0211
040O0211
040O020B
042E0121
042E0102
042E0102
042E0102
042E0117","检索提取
下一步值机
下一步值机
下一步值机
选座接收
返回
检索提取
检索提取
检索提取
结束",BRT_0402
2471,"042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
2472,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020A
040O020A
040O0211
040O0210
040O020F
040O0262
040O020F
040O0262
162R0500
162R0501
042E0121
042E0106
163L0300
163L0301
01010916","检索提取
检索提取
检索提取
下一步值机
下一步值机
值机接收
值机接收
下一步值机
检索提取
行李交运
值机接收
行李交运
值机接收
值机员综合办理统计
值机员综合办理统计
返回
旅客详情
业务信息查询
业务信息查询
结束",BRT_0409
2473,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
042E0146
042E0146
042E0118
040O0233
040O0211
040O020F
042E0121
162R0500
162R0501
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
检索提取
下一步值机
下一步值机
行李交运
返回
值机员综合办理统计
值机员综合办理统计
结束",BRT_0409
2474,"042E0115
040O0233
040O0211
040O020F
040O0262
042E0121
042E0115
16200100
16200101
01010916","检索提取
下一步值机
下一步值机
行李交运
值机接收
返回
检索提取
业务信息查询
业务信息查询
结束",BRT_0409
2475,"16200100
16200101
162R0500
01010916","业务信息查询
业务信息查询
值机员综合办理统计
结束",BRT_0412
2476,"042E0115
040O0233
040O0211
040O020F
042E0121
162R0500
162R0501
01010916","检索提取
下一步值机
下一步值机
行李交运
返回
值机员综合办理统计
值机员综合办理统计
结束",BRT_0409
2477,"16200100
16200101
01010916","业务信息查询
业务信息查询
结束",BRT_0412
2478,"042E0115
042E0115
042E0118
040O0233
040O0211
042E0121
040O0233
040O0211
040O0293
040O0200
042E0121
042E0118
040O0233
040O0211
040O020E
042E0121
042E0118
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
返回
下一步值机
下一步值机
航班详情
下一步值机
返回
检索提取
下一步值机
下一步值机
修改座位
返回
检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
2479,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
040O0233
040O0211
040O020B
040O020B
040O0211
040O0210
040O020F
040O0210
040O020F
040O0210
040O020F
040O0210
040O0210
040O020F
040O0210
040O020F
040O0210
040O020F
162R0500
162R0501
01010600","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
检索提取
行李交运
检索提取
行李交运
检索提取
行李交运
检索提取
检索提取
行李交运
检索提取
行李交运
检索提取
行李交运
值机员综合办理统计
值机员综合办理统计
结束",-
2480,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O020B
040O0211
040O0210
040O0211
040O020E
040O0210
040O020F
01010914
16200100
16200101
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
检索提取
下一步值机
修改座位
检索提取
行李交运
结束
业务信息查询
业务信息查询
结束",BRT_0409
2481,"042E0115
042E0115
042E0118
042E0118
042E0146
042E0146
042E0115
042E0118
042E0115
042E0118
042E0118
042E0146
042E0146
042E0118
040O0233
040O0211
040O020F
042E0121
042E0118
040O0233
040O0211
040O020F
042E0121
042E0118
040O0233
040O0211
040O020F
042E0121
042E0118
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
2482,"042E0115
040O0233
040O0211
040O020D
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
返回
结束",BRT_0402
2483,"042E0115
042E0117","检索提取
结束",BRT_0402
2484,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020F
042E0121
042E0118
040O0233
040O0211
040O020F
040O0225
040O020F
16200100
16200101
01010916","检索提取
检索提取
检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
下一步值机
下一步值机
行李交运
值机接收
行李交运
业务信息查询
业务信息查询
结束",BRT_0409
2485,"042E0115
042E0146
042E0146
042E0151
043L1201
042E0121
042E0117","检索提取
重打牌
重打牌
座位锁放
座位锁放
返回
结束",BRT_0402
2486,"042E0115
042E0141
042E0121
042E0151
042E0121
042E0115
042E0118
042E0118
042E0146
042E0146
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
客票详情
返回
座位锁放
返回
检索提取
检索提取
检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
2487,"042E0115
042E0115
042E0118
042E0118
040O0233
040O0211
040O020B
040O020B
040O0211
040O0280
040O0200
040O0280
040O0200
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
客票详情
下一步值机
客票详情
下一步值机
返回
结束",BRT_0402
2488,"042E0115
042E0115
042E0118
042E0151
042E0121
042E0141
042E0121
042E0117","检索提取
检索提取
检索提取
座位锁放
返回
客票详情
返回
结束",BRT_0402
2489,"042E0115
040O0233
040O0211
040O0293
040O0200
040O0211
040O020B
040O0262
042E0121
042E0117","检索提取
下一步值机
下一步值机
航班详情
下一步值机
下一步值机
选座接收
值机接收
返回
结束",BRT_0402
2490,"042E0115
042E0146
042E0146
040O0233
040O0211
040O0270
040O0293
040O0200
040O020F
042E0121
042E0117","检索提取
重打牌
重打牌
下一步值机
下一步值机
旅客详情
航班详情
下一步值机
行李交运
返回
结束",BRT_0402
2491,"042E0115
040O0233
040O0211
040O020D
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
返回
结束",BRT_0402
2492,"042E0115
042E0115
042E0118
042E0146
042E0146
040O0233
040O0211
040O020F
042E0100
042E0102
042E0118
042E0117","检索提取
检索提取
检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
检索提取
检索提取
检索提取
结束",BRT_0402
2493,"042E0115
042E0115
042E0118
042E0118
040O0233
040O0211
040O020B
040O020B
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
行李交运
返回
结束",BRT_0402
2494,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
2495,"042E0115
01010916","检索提取
结束",BRT_0409
2496,"042E0102
042E0106
043L0101
01010916","检索提取
旅客详情
旅客详情
结束",BRT_0406
2497,"042E0115
040O0233
040O0211
040O020F
042E0100
042E0117","检索提取
下一步值机
下一步值机
行李交运
检索提取
结束",BRT_0402
2498,"042E0115
040O0233
040O0211
040O020D
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
返回
结束",BRT_0402
2499,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O020B
040O020F
040O020F
040O020F
040O020F
040O020F
040O0280
040O0200
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
行李交运
行李交运
行李交运
行李交运
行李交运
客票详情
下一步值机
结束",BRT_0409
2500,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
2501,"042E0115
040O0233
040O0211
040O020E
042E0121
042E0151
042E0121
042E0117","检索提取
下一步值机
下一步值机
修改座位
返回
座位锁放
返回
结束",BRT_0402
2502,"042E0115
040O0233
040O0211
040O020D
040O0288
040R0104
040R0103
040O0200
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
行李交运
行李交运
行李交运
下一步值机
行李交运
返回
结束",BRT_0402
2503,"042E0115
042E0115
141R0100
16290102
01010916","检索提取
检索提取
客票查询
客票查询
结束",BRT_0409
2504,"042E0102
042E0102
141R0100
16290102
01010916","检索提取
检索提取
客票查询
客票查询
结束",BRT_0406
2505,"042E0115
141R0100
16290102
01010916","检索提取
客票查询
客票查询
结束",BRT_0409
2506,"042E0102
042E0150
040P0206
040P0200
042E0121
042E0106
042E0150
042E0121
042E0117","检索提取
航班详情
座位锁放
航班详情
返回
旅客详情
航班详情
返回
结束",BRT_0401
2507,"042E0115
042E0117","检索提取
结束",BRT_0402
2508,"042E0115
042E0117","检索提取
结束",BRT_0402
2509,"042E0115
042E0117","检索提取
结束",BRT_0402
2510,"042E0115
042E0115
01010903","检索提取
检索提取
结束",BRT_040I
2511,"042E0115
040O0233
040O0211
040O020B
040O0293
040O0200
040O0211
040O020B
040O020B
040O0211
040O020E
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
航班详情
下一步值机
下一步值机
选座接收
选座接收
下一步值机
修改座位
下一步值机
行李交运
返回
结束",BRT_0402
