路径编号,业务ID,业务组名称,路径编码
22,"042E0200
042E0214
042E0235
042E0200
042E0235
042E0146
042E0235
042E0146
042E0235
042E0235
042E0100
042E0200
042E0235
042E0146
042E0235
042E0146
042E0235
042E0235
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
检索提取
重打牌
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
检索提取
重打牌
检索提取
检索提取
结束",-
23,"042E0200
042E0235
042E0223","检索提取
检索提取
结束",-
24,"042E0200
042E0214
042E0235
042E0200
042E0235
042E0200
042E0235
040O0211
040O020B
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
042E0200
042E0235
042E0223","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
选座接收
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
检索提取
检索提取
结束",-
25,"042E0211
042E0214
042E0235
042E0211
042E0235
042E0211
042E0235
042E0211
042E0235
042E0211
042E0235
042E0211
042E0235
042E0211
042E0211
042E0235
042E0211
042E0235
040O0211
040O0210
040O020A
040O020A
040O0211
040O0210
040O0211
040O0211
040O020B
040O0211
040O020F
040O020F
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
01010903","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
检索提取
值机接收
值机接收
下一步值机
检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
行李交运
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
结束",BRT_040J
26,"042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
27,"042E0115
042E0115
042E0118
042E0146
042E0146
040O0233
040O0211
040O020F
042E0121
042E0141
042E0121
042E0117","检索提取
检索提取
检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
返回
客票详情
返回
结束",BRT_0402
28,"042E0115
042E0115
042E0115
042E0118
042E0118
042E0146
042E0146
040O0233
040O0211
040O020F
040O020F
040O020F
040O0211
040O020F
040O020F
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
行李交运
行李交运
下一步值机
行李交运
行李交运
行李交运
返回
结束",BRT_0402
29,"042E0115
042E0146
042E0146
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
30,"042E0115
040O0233
040O0211
040O020D
040O0239
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
重打牌
返回
结束",BRT_0402
31,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
040O0211
040O020F
040O0210
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
检索提取
下一步值机
行李交运
返回
结束",BRT_0402
32,"042E0115
040O0233
040O0211
040O020D
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
返回
结束",BRT_0402
33,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
042E0146
042E0146
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
34,"042E0115
042E0146
042E0146
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
35,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0146
042E0146
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
36,"042E0115
042E0146
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
重打牌
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
37,"042E0115
042E0141
042E0121
040O0233
040O0211
040O020B
040O0212
040O020E
042E0121
042E0117","检索提取
客票详情
返回
下一步值机
下一步值机
选座接收
EDI联程值机
修改座位
返回
结束",BRT_0402
38,"042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
39,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O0210
040O0211
040O020E
040O020E
040O0210
040O0211
040O020B
040O020B
040O0211
040O0210
040O0211
040O020F
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
下一步值机
修改座位
修改座位
检索提取
下一步值机
选座接收
选座接收
下一步值机
检索提取
下一步值机
行李交运
下一步值机
行李交运
返回
结束",BRT_0402
40,"042E0115
042E0146
042E0146
040O0233
040O0211
040O020F
040O0239
042E0121
042E0141
042E0121
042E0117","检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
重打牌
返回
客票详情
返回
结束",BRT_0402
41,"042E0115
040O0233
040O0211
040O020D
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
返回
结束",BRT_0402
42,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
返回
结束",BRT_0402
43,"042E0115
040O0233
040O0211
040O020D
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收加行李
返回
结束",BRT_0402
44,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O0210
040O0211
040O020B
040O0210
040O0211
040O020B
040O0210
040O0211
040O020F
040O0211
040O020F
040O0211
040O020F
040O020F
040O0225
040O020F
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
下一步值机
选座接收
检索提取
下一步值机
选座接收
检索提取
下一步值机
行李交运
下一步值机
行李交运
下一步值机
行李交运
行李交运
值机接收
行李交运
行李交运
返回
结束",BRT_0402
45,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
040O0233
040O0211
040O0210
040O0210
040O0211
040O020B
040O020B
040O0211
040O0210
040O0210
040O0211
040O020B
040O020B
040O0211
040O0210
040O0211
040O020B
040O0210
040O0211
040O020F
040O0210
040O0211
040O020F
042E0121
042E0151
042E0121
042E0150
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
检索提取
下一步值机
选座接收
选座接收
下一步值机
检索提取
检索提取
下一步值机
选座接收
选座接收
下一步值机
检索提取
下一步值机
选座接收
检索提取
下一步值机
行李交运
检索提取
下一步值机
行李交运
返回
座位锁放
返回
航班详情
返回
结束",BRT_0402
46,"042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
47,"042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
48,"042E0115
040O0233
040O0211
040O020F
040O0211
040O020F
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
下一步值机
行李交运
行李交运
返回
结束",BRT_0402
49,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
nav","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
结束",BRT_040Other
50,"042E0115
042E0115
042E0118
042E0146
042E0146
040O0233
040O0211
040O0210
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
重打牌
重打牌
下一步值机
下一步值机
检索提取
下一步值机
行李交运
返回
结束",BRT_0402
51,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0121
042E0141
042E0121
042E0141
042E0121
042E0118
042E0146
042E0118
042E0146
040O0233
040O0211
040O0212
040O020E
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
返回
客票详情
返回
客票详情
返回
检索提取
重打牌
检索提取
重打牌
下一步值机
下一步值机
EDI联程值机
修改座位
返回
结束",BRT_0402
52,"042E0115
040O0233
040O0211
040O020B
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
选座接收
返回
结束",BRT_0402
53,"042E0115
042E0115
042E0118
042E0146
042E0146
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
54,"042E0115
040O0233
040O0211
040O020B
151X0100
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
公共信息查询
返回
结束",BRT_0402
55,"042E0115
042E0118
040O0233
040O0211
040O020F
042E0121
042E0146
042E0146
042E0117","检索提取
检索提取
下一步值机
下一步值机
行李交运
返回
重打牌
重打牌
结束",BRT_0402
56,"042E0115
042E0146
042E0146
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
重打牌
重打牌
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
57,"042E0115
040O0233
040O0211
040O020B
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
下一步值机
行李交运
返回
结束",BRT_0402
58,"042E0115
042E0112
042E0117","检索提取
检索提取
结束",BRT_0402
59,"042E0115
042E0115
042E0117","检索提取
检索提取
结束",BRT_0402
60,"042E0115
042E0117","检索提取
结束",BRT_0402
61,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
62,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O020A
040O020A
040O0211
042E0121
042E0118
042E0118
042E0118
042E0118
042E0118
nav","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
值机接收
值机接收
下一步值机
返回
检索提取
检索提取
检索提取
检索提取
检索提取
结束",BRT_040Other
63,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
64,"042E0115
042E0117","检索提取
结束",BRT_0402
65,"042E0115
16200100
16200101
01010916","检索提取
业务信息查询
业务信息查询
结束",BRT_0409
66,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
040O0233
040O0211
042E0121
040O0233
040O0211
040O0210
040O020A
040O0210
040O0211
040O020B
040O020B
040O0210
040O0211
040O020B
040O0210
040O0210
040O0211
040O020B
040O0210
040O0211
040O020E
040O0210
040O020F
042E0121
042E0151
042E0121
042E0118
040O0233
040O0211
040O020F
042E0121
042E0118
040O0233
040O0211
040O020F
040O0262
040O0262
042E0121
042E0118
040O0233
040O0211
040O020F
042E0121
042E0133
042E0133
042E0106
042E0118
040O0233
040O0211
040O0262
042E0121
16200100
16200101
01010916","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
返回
下一步值机
下一步值机
检索提取
值机接收
检索提取
下一步值机
选座接收
选座接收
检索提取
下一步值机
选座接收
检索提取
检索提取
下一步值机
选座接收
检索提取
下一步值机
修改座位
检索提取
行李交运
返回
座位锁放
返回
检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
下一步值机
下一步值机
行李交运
值机接收
值机接收
返回
检索提取
下一步值机
下一步值机
行李交运
返回
检索提取
检索提取
旅客详情
检索提取
下一步值机
下一步值机
值机接收
返回
业务信息查询
业务信息查询
结束",BRT_0409
67,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0107
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
040O0233
040O0211
040O0210
040O0211
040O020A
040O020A
040O0210
040O020B
040O020B
040O0211
040O0210
040O0211
040O020B
040O020B
040O0211
042E0121
042E0118
040O0233
040O0211
040O020B
042E0121
042E0118
040O0233
040O0211
040O020B
042E0121
042E0118
040O0233
040O0211
040O020B
042E0121
042E0118
040O0233
040O0211
040O020B
042E0121
042E0107
042E0118
040O0233
040O0211
042E0121
042E0118
042E0118
042E0142
042E0121
042E0143
042E0118
040O0233
040O0211
040O020E
042E0121
042E0118
040O0233
040O0211
040O020B
040O0278
040O0200
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
全部操作入口
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
下一步值机
值机接收
值机接收
检索提取
选座接收
选座接收
下一步值机
检索提取
下一步值机
选座接收
选座接收
下一步值机
返回
检索提取
下一步值机
下一步值机
选座接收
返回
检索提取
下一步值机
下一步值机
选座接收
返回
检索提取
下一步值机
下一步值机
选座接收
返回
检索提取
下一步值机
下一步值机
选座接收
返回
全部操作入口
检索提取
下一步值机
下一步值机
返回
检索提取
检索提取
座位处理
返回
旅客拉下
检索提取
下一步值机
下一步值机
修改座位
返回
检索提取
下一步值机
下一步值机
选座接收
管理旅客备注
下一步值机
返回
结束",BRT_0402
68,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
040O0210
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
检索提取
行李交运
返回
结束",BRT_0402
69,"042E0105
042E0105
042E0137
042F0202
042E0121
042E0117","办理历史
办理历史
管理旅客备注
管理旅客备注
返回
结束",BRT_040L
70,"042E0115
040O0233
040O0211
042E0121
040O0233
040O0211
040O020B
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
返回
下一步值机
下一步值机
选座接收
行李交运
返回
结束",BRT_0402
71,"042E0115
040O0233
040O0211
040O020F
040O0270
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
旅客详情
返回
结束",BRT_0402
72,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
040O0280
040O0200
040O0293
040O0200
040O0280
040O0200
040O0293
040O0200
040O0212
040O020E
040O0280
040O0200
040O0210
040O020F
040O020F
040O0280
040O0200
040O0278
042F0202
040O0200
040O0210
040O020F
040O020F
040O0278
042F0202
040O0200
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
客票详情
下一步值机
航班详情
下一步值机
客票详情
下一步值机
航班详情
下一步值机
EDI联程值机
修改座位
客票详情
下一步值机
检索提取
行李交运
行李交运
客票详情
下一步值机
管理旅客备注
管理旅客备注
下一步值机
检索提取
行李交运
行李交运
管理旅客备注
管理旅客备注
下一步值机
返回
结束",BRT_0402
73,"042E0115
040O0233
040O0211
040O020B
040O020F
040O0262
042E0121
162R0500
162R0501
01010916","检索提取
下一步值机
下一步值机
选座接收
行李交运
值机接收
返回
值机员综合办理统计
值机员综合办理统计
结束",BRT_0409
74,"042E0115
040O0233
040O0211
040O0211
040O020B
040O020F
040O0262
01010916","检索提取
下一步值机
下一步值机
下一步值机
选座接收
行李交运
值机接收
结束",BRT_0409
75,"042E0115
040O0233
040O0211
040O020F
040O0262
162R0500
162R0501
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
值机接收
值机员综合办理统计
值机员综合办理统计
返回
结束",BRT_0402
76,"042E0115
042E0117","检索提取
结束",BRT_0402
77,"042E0115
040O0233
040O0211
040O0211
040O020B
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
下一步值机
选座接收
行李交运
返回
结束",BRT_0402
78,"042E0115
040O0233
040O0211
nav","检索提取
下一步值机
下一步值机
结束",BRT_040Other
79,"042E0115
042E0115
042E0118
042E0115
042E0118
040O0233
040O0211
040O0211
040O020B
040O0210
040O020F
040O0262
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
下一步值机
选座接收
检索提取
行李交运
值机接收
返回
结束",BRT_0402
80,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0115
042E0118
042E0118
040O0233
040O0211
040O0210
040O0210
040O020A
040O0210
040O020B
040O020B
040O0211
040O0210
040O0210
040O0211
040O020B
040O020B
040O0210
040O020F
040O0262
040O0262
040O0210
040O020F
040O0262
040O0210
040O020F
040O0262
040O0262
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
检索提取
检索提取
值机接收
检索提取
选座接收
选座接收
下一步值机
检索提取
检索提取
下一步值机
选座接收
选座接收
检索提取
行李交运
值机接收
值机接收
检索提取
行李交运
值机接收
检索提取
行李交运
值机接收
值机接收
返回
结束",BRT_0402
81,"042E0115
040O0233
040O0211
042E0121
040O0233
040O0211
040O0238
040O0238
040O0270
042E0121
042E0115
040O0233
040O0211
040O020F
040O0262
042E0121
042E0117","检索提取
下一步值机
下一步值机
返回
下一步值机
下一步值机
重打牌
重打牌
旅客详情
返回
检索提取
下一步值机
下一步值机
行李交运
值机接收
返回
结束",BRT_0402
82,"042E0115
042E0115
042E0106
042E0118
042E0115
042E0106
042E0118
042E0150
042E0121
042E0118
040O0233
040O0211
042E0121
042E0102
042E0118
042E0106
162R0500
01010916","检索提取
检索提取
旅客详情
检索提取
检索提取
旅客详情
检索提取
航班详情
返回
检索提取
下一步值机
下一步值机
返回
检索提取
检索提取
旅客详情
值机员综合办理统计
结束",BRT_0409
83,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
84,"042E0115
042E0115
042E0118
042E0118
040O0233
040O0211
040O020A
040O020A
040O0211
040O0210
040O020F
040O0262
040O0262
040O0210
040O020F
040O0262
162R0500
162R0501
01010903","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
值机接收
值机接收
下一步值机
检索提取
行李交运
值机接收
值机接收
检索提取
行李交运
值机接收
值机员综合办理统计
值机员综合办理统计
结束",BRT_040I
85,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
042E0121
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
返回
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
86,"042E0115
042E0115
042E0118
042E0115
040O0233
040O0211
042E0121
040O0233
040O0211
040O020B
042E0121
040O0233
040O0211
040O020A
040O020A
040O0211
042E0121
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
返回
下一步值机
下一步值机
选座接收
返回
下一步值机
下一步值机
值机接收
值机接收
下一步值机
返回
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
87,"042E0115
040O0233
040O0211
040O0212
040O0293
040O0200
040O0280
040O0200
040O0212
040O020B
040O0293
040O0200
040O0280
040O0200
040O0211
040O020F
040O020F
040O0278
042F0202
040O0200
042E0121
042E0117","检索提取
下一步值机
下一步值机
EDI联程值机
航班详情
下一步值机
客票详情
下一步值机
EDI联程值机
选座接收
航班详情
下一步值机
客票详情
下一步值机
下一步值机
行李交运
行李交运
管理旅客备注
管理旅客备注
下一步值机
返回
结束",BRT_0402
88,"042E0115
042E0115
040O0233
040O0211
040O020A
040O020A
040O0211
042E0121
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
下一步值机
下一步值机
值机接收
值机接收
下一步值机
返回
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
89,"042E0115
042E0115
042E0118
042E0115
040O0233
040O0211
042E0121
042E0102
042E0118
042E0118
040O0233
040O0211
040O0282
040T0111
040O0200
042E0121
040O0233
040O0211
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
下一步值机
下一步值机
返回
检索提取
检索提取
检索提取
下一步值机
下一步值机
旅客升降舱
旅客升降舱
下一步值机
返回
下一步值机
下一步值机
返回
结束",BRT_0402
90,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020B
040O020B
040O0211
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
选座接收
选座接收
下一步值机
返回
结束",BRT_0402
91,"042E0115
042E0115
042E0118
042E0115
042E0118
042E0118
042E0106
042E0402
042E0402
042E0146
042E0146
040O0233
040O0211
040O0225
040O020F
042E0121
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
旅客详情
旅客详情
旅客详情
重打牌
重打牌
下一步值机
下一步值机
值机接收
行李交运
返回
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
92,"042E0115
040O0233
040O0211
040O020B
042E0121
042E0117","检索提取
下一步值机
下一步值机
选座接收
返回
结束",BRT_0402
93,"042E0115
040O0233
040O0211
040O020F
042E0121
042E0117","检索提取
下一步值机
下一步值机
行李交运
返回
结束",BRT_0402
94,"042E0115
042E0115
042E0118
040O0233
040O0211
040O020F
042E0121
040O0233
040O0211
040O020F
040O0211
040O020F
040O020F
042E0121
042E0137
042F0202
042E0121
042E0117","检索提取
检索提取
检索提取
下一步值机
下一步值机
行李交运
返回
下一步值机
下一步值机
行李交运
下一步值机
行李交运
行李交运
返回
管理旅客备注
管理旅客备注
返回
结束",BRT_0402
