路径编号,业务ID,业务组名称,路径编码
1,"042E0102
042E0151
043L1201
042E0121
042E0102
042E0212
042E0212
042E0151
043L1201
043L1201
043L1201
043L1201
043L1201
07161400
042E0121
undefined
undefined
040P0700
040O0233
040O0211
040O0262
042E0100
042E0102
042E0102
042E0106
042E0100
042E0102
042E0102
042E0102
042E0118
042E0118
042E0142
040V0204
042E0121
042E0142
01010903","检索提取
座位锁放
座位锁放
返回
检索提取
检索提取
检索提取
座位锁放
座位锁放
座位锁放
座位锁放
座位锁放
座位锁放
座位与旅客控制
返回
已/未登机查询
已/未登机查询
None
下一步值机
下一步值机
值机接收
检索提取
检索提取
检索提取
旅客详情
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
座位处理
结束",BRT_040H
2,"16200100
16200101
16200101
16200101
nav","业务信息查询
业务信息查询
业务信息查询
业务信息查询
结束",BRT_040Other
3,"042E0102
042E0212
042E0212
042E0118
042E0133
042E0133
042E0151
042E0121
01010903","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位锁放
返回
结束",BRT_040H
4,"042E0102
042E0102
042E0212
042E0118
042E0118
01010903","检索提取
检索提取
检索提取
检索提取
检索提取
结束",BRT_040H
5,"042E0102
042E0212
042E0212
042E0152
042E0152
042E0150
042E0121
042E0180
042E0118
undefined
undefined
01010916","检索提取
检索提取
检索提取
OP/CI航班
OP/CI航班
航班详情
返回
已/未登机查询
检索提取
已/未登机查询
已/未登机查询
结束",BRT_0406
6,"042E0102
042E0212
042E0212
042E0118
042E0102
042E0102
042E0102
042E0102
042E0180
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
042E0141
042E0121
042E0118
042E0141
042G0102
042G0102
042G0102
042G0102
042G0102
042G0102
042G0102
042G0102
042G0102
042G0102
042G0102
042G0102
042G0102
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
042E0308
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
undefined
042E0305
undefined
undefined
undefined
01010903","检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
客票详情
返回
检索提取
客票详情
客票详情
客票详情
客票详情
客票详情
客票详情
客票详情
客票详情
客票详情
客票详情
客票详情
客票详情
客票详情
客票详情
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
旅客详情
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
已/未登机查询
结束",BRT_040H
7,"042E0102
042E0102
042E0102
042E0102
042E0117","检索提取
检索提取
检索提取
检索提取
结束",BRT_0401
8,"042E0102
042E0150
042E0121
042E0118
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0102
042E0102
042E0102
042E0102
043L0202
07161201
042E0150
042E0100
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0118
042E0142
040V0204
042E0121
042E0118
042E0142
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0118
042E0142
040V0204
042E0121
042E0102
042E0102
042E0142
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0142
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0142
042E0121
042E0102
042E0102
042E0118
042E0142
040V0204
040V0204
040V0204
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0118
042E0142
040V0204
042E0121
042E0102
042E0102
042E0118
042E0142
040V0204
040V0204
040V0204
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0118
042E0142
040V0204
042E0121
042E0102
042E0102
040O0240
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0118
042E0142
040V0204
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0142
042E0121
042E0142
040V0204
042E0121
042E0102
042E0102
042E0142
040V0204
042E0121
042E0102
042E0102
042E0102
042E0142
040V0204
042E0121
042E0137
042F0202
01010916","检索提取
航班详情
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
GS限额
GS限额
航班详情
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
返回
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
管理旅客备注
管理旅客备注
结束",BRT_0406
9,"042E0102
042E0150
042E0121
042E0102
042E0102
042E0102
042E0102
16200100
16200101
042E0100
042E0115
01010916","检索提取
航班详情
返回
检索提取
检索提取
检索提取
检索提取
业务信息查询
业务信息查询
检索提取
检索提取
结束",BRT_0406
10,"042E0102
042E0151
042E0121
042E0150
042E0121
16200100
16200101
042E0102
042E0151
042E0121
042E0133
042E0150
042E0121
042E0100
042E0102
042E0102
042E0118
042E0142
040V0204
042E0121
042E0118
042E0118
040O0240
042E0102
042E0118
042E0118
042E0118
042E0142
040V0204
042E0121
042E0118
042E0142
040V0204
042E0121
042E0118
042E0142
040V0204
042E0121
042E0118
042E0118
042E0118
042E0142
040V0204
042E0121
042E0118
042E0142
040V0204
040V0204
042E0121
042E0118
042E0118
042E0118
042E0118
042E0118
042E0142
040V0204
042E0121
042E0118
042E0118
042E0142
040V0204
042E0121
042E0102
042E0102
01010916","检索提取
座位锁放
返回
航班详情
返回
业务信息查询
业务信息查询
检索提取
座位锁放
返回
检索提取
航班详情
返回
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
座位处理
座位处理
返回
检索提取
座位处理
座位处理
返回
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
座位处理
座位处理
座位处理
返回
检索提取
检索提取
检索提取
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
座位处理
座位处理
返回
检索提取
检索提取
结束",BRT_0406
