business_id,business_label,BP,KC,PG,BT,SUB,business_class,class_name
040O0200,0,04,0O,02,00,0.835,04,值机接收
040O0211,0,04,0O,02,11,0.475,04,值机接收
040O0204,0,04,0O,02,04,1.813,04,值机接收
040O0238,0,04,0O,02,38,1.555,09,重打牌
040O0238,0,04,0O,02,38,0.392,09,重打牌
040O0210,0,04,0O,02,10,22.212,04,值机接收
040O0204,0,04,0O,02,04,4.479,04,值机接收
042E0121,0,04,2E,01,21,18.58,05,结束
042E0117,-1,04,2E,01,17,0.347,05,结束
042E0115,1,04,2E,01,15,11.825,02,检索提取
040O0200,0,04,0O,02,00,6.856,04,值机接收
040O0211,0,04,0O,02,11,0.438,04,值机接收
040O0204,0,04,0O,02,04,0.667,04,值机接收
040O0211,0,04,0O,02,11,0.335,04,值机接收
040O0204,0,04,0O,02,04,1.105,04,值机接收
040O0204,0,04,0O,02,04,9.92,04,值机接收
040O0238,0,04,0O,02,38,2.335,09,重打牌
040O0204,0,04,0O,02,04,1.181,04,值机接收
040O0211,0,04,0O,02,11,0.329,04,值机接收
040O0285,0,04,0O,02,85,6.329,22,证件校验
042F0817,0,04,2F,08,17,3.143,12,管理旅客备注
042F0801,0,04,2F,08,01,2.131,22,证件校验
040O0200,0,04,0O,02,00,4.212,04,值机接收
040O0204,0,04,0O,02,04,1.392,04,值机接收
040O0212,0,04,0O,02,12,4.108,04,值机接收
040O0204,0,04,0O,02,04,0.842,04,值机接收
040O0285,0,04,0O,02,85,3.051,22,证件校验
040O0200,0,04,0O,02,00,52.82,04,值机接收
040O0262,0,04,0O,02,62,1.822,04,值机接收
040O0238,0,04,0O,02,38,1.279,09,重打牌
040O0238,0,04,0O,02,38,0.441,09,重打牌
040O0204,0,04,0O,02,04,2.883,04,值机接收
040O0204,0,04,0O,02,04,0.315,04,值机接收
040O0270,0,04,0O,02,70,49.611,10,旅客详情
042E0121,0,04,2E,01,21,11.721,05,结束
042E0117,-1,04,2E,01,17,0.258,05,结束
042E0117,-1,04,2E,01,17,0.303,05,结束
042E0115,1,04,2E,01,15,12.697,02,检索提取
042E0146,0,04,2E,01,46,1.725,09,重打牌
042E0146,0,04,2E,01,46,0.441,09,重打牌
040O0200,0,04,0O,02,00,0.728,04,值机接收
040O0211,0,04,0O,02,11,0.427,04,值机接收
040O0204,0,04,0O,02,04,2.336,04,值机接收
040O0204,0,04,0O,02,04,0.303,04,值机接收
042E0121,0,04,2E,01,21,25.273,05,结束
042E0117,-1,04,2E,01,17,0.314,05,结束
042E0115,1,04,2E,01,15,2.113,02,检索提取
040O0200,0,04,0O,02,00,1.359,04,值机接收
040O0211,0,04,0O,02,11,0.42,04,值机接收
040O0204,0,04,0O,02,04,6.477,04,值机接收
040O0212,0,04,0O,02,12,2.468,04,值机接收
040O0204,0,04,0O,02,04,2.764,04,值机接收
040O0204,0,04,0O,02,04,2.799,04,值机接收
040O0204,0,04,0O,02,04,0.247,04,值机接收
042E0121,0,04,2E,01,21,23.92,05,结束
042E0117,-1,04,2E,01,17,0.523,05,结束
042E0117,-1,04,2E,01,17,0.236,05,结束
042E0115,1,04,2E,01,15,7.371,02,检索提取
040O0200,0,04,0O,02,00,1.319,04,值机接收
040O0211,0,04,0O,02,11,0.456,04,值机接收
040O0204,0,04,0O,02,04,5.301,04,值机接收
040O0204,0,04,0O,02,04,3.41,04,值机接收
042E0121,0,04,2E,01,21,20.742,05,结束
042E0117,-1,04,2E,01,17,0.279,05,结束
042E0115,1,04,2E,01,15,8.705,02,检索提取
042E0117,-1,04,2E,01,17,3.652,05,结束
042E0117,-1,04,2E,01,17,0.304,05,结束
042E0115,1,04,2E,01,15,14.033,02,检索提取
040O0200,0,04,0O,02,00,1.74,04,值机接收
040O0211,0,04,0O,02,11,0.427,04,值机接收
040O0204,0,04,0O,02,04,11.176,04,值机接收
042E0121,0,04,2E,01,21,15.427,05,结束
042E0117,-1,04,2E,01,17,0.297,05,结束
042E0117,-1,04,2E,01,17,0.208,05,结束
042E0115,1,04,2E,01,15,14.983,02,检索提取
040O0200,0,04,0O,02,00,1.852,04,值机接收
040O0211,0,04,0O,02,11,0.429,04,值机接收
040O0204,0,04,0O,02,04,15.472,04,值机接收
040O0204,0,04,0O,02,04,0.277,04,值机接收
042E0121,0,04,2E,01,21,17.661,05,结束
042E0117,-1,04,2E,01,17,0.287,05,结束
042E0115,1,04,2E,01,15,15.201,02,检索提取
040O0200,0,04,0O,02,00,2.237,04,值机接收
040O0211,0,04,0O,02,11,0.461,04,值机接收
040O0204,0,04,0O,02,04,1.334,04,值机接收
042E0121,0,04,2E,01,21,21.331,05,结束
042E0117,-1,04,2E,01,17,0.349,05,结束
042E0105,1,04,2E,01,05,1.555,61,办理历史
042E0105,1,04,2E,01,05,2.241,61,办理历史
042E0141,0,04,2E,01,41,2.365,15,客票详情
042E0121,0,04,2E,01,21,1.038,05,结束
042E0117,-1,04,2E,01,17,0.367,05,结束
042E0117,-1,04,2E,01,17,0.194,05,结束
042E0115,1,04,2E,01,15,4.539,02,检索提取
040O0200,0,04,0O,02,00,1.362,04,值机接收
040O0211,0,04,0O,02,11,0.467,04,值机接收
040O0204,0,04,0O,02,04,5.408,04,值机接收
042E0121,0,04,2E,01,21,31.438,05,结束
042E0117,-1,04,2E,01,17,0.226,05,结束
042E0117,-1,04,2E,01,17,0.208,05,结束
042E0115,1,04,2E,01,15,5.474,02,检索提取
040O0200,0,04,0O,02,00,2.831,04,值机接收
040O0211,0,04,0O,02,11,0.538,04,值机接收
040O0204,0,04,0O,02,04,7.204,04,值机接收
040O0204,0,04,0O,02,04,3.329,04,值机接收
042E0121,0,04,2E,01,21,20.759,05,结束
042E0115,1,04,2E,01,15,1.2,02,检索提取
042E0118,0,04,2E,01,18,1.478,02,检索提取
042E0115,1,04,2E,01,15,3.427,02,检索提取
042E0118,0,04,2E,01,18,1.336,02,检索提取
042E0115,1,04,2E,01,15,1.367,02,检索提取
042E0118,0,04,2E,01,18,1.299,02,检索提取
040O0200,0,04,0O,02,00,3.904,04,值机接收
040O0211,0,04,0O,02,11,0.436,04,值机接收
040O0204,0,04,0O,02,04,11.561,04,值机接收
040O0204,0,04,0O,02,04,4.707,04,值机接收
042E0121,0,04,2E,01,21,30.364,05,结束
042E0117,-1,04,2E,01,17,0.962,05,结束
042E0115,1,04,2E,01,15,8.812,02,检索提取
042E0115,1,04,2E,01,15,3.097,02,检索提取
042E0189,0,04,2E,01,89,1.346,02,检索提取
040O0200,0,04,0O,02,00,0.953,04,值机接收
040O0211,0,04,0O,02,11,0.598,04,值机接收
040O0204,0,04,0O,02,04,27.179,04,值机接收
040O0204,0,04,0O,02,04,13.168,04,值机接收
040O0210,0,04,0O,02,10,13.842,04,值机接收
040O0204,0,04,0O,02,04,7.884,04,值机接收
042E0121,0,04,2E,01,21,16.177,05,结束
042E0117,-1,04,2E,01,17,0.336,05,结束
042E0115,1,04,2E,01,15,15.498,02,检索提取
042E0115,1,04,2E,01,15,3.077,02,检索提取
042E0118,0,04,2E,01,18,1.336,02,检索提取
040O0200,0,04,0O,02,00,1.961,04,值机接收
040O0211,0,04,0O,02,11,0.395,04,值机接收
040O0204,0,04,0O,02,04,5.125,04,值机接收
040O0204,0,04,0O,02,04,5.108,04,值机接收
040O0210,0,04,0O,02,10,17.399,04,值机接收
040O0204,0,04,0O,02,04,19.142,04,值机接收
042E0121,0,04,2E,01,21,41.339,05,结束
042E0117,-1,04,2E,01,17,0.275,05,结束
042E0115,1,04,2E,01,15,7.116,02,检索提取
042E0146,0,04,2E,01,46,2.758,09,重打牌
042E0146,0,04,2E,01,46,0.407,09,重打牌
040O0200,0,04,0O,02,00,0.633,04,值机接收
040O0211,0,04,0O,02,11,0.411,04,值机接收
040O0204,0,04,0O,02,04,2.678,04,值机接收
042E0121,0,04,2E,01,21,18.617,05,结束
042E0117,-1,04,2E,01,17,0.226,05,结束
042E0115,1,04,2E,01,15,9.725,02,检索提取
040O0200,0,04,0O,02,00,1.304,04,值机接收
040O0211,0,04,0O,02,11,0.482,04,值机接收
040O0204,0,04,0O,02,04,5.2,04,值机接收
040O0204,0,04,0O,02,04,13.501,04,值机接收
01010917,-1,01,01,09,17,23.663,05,结束
042E0117,-1,04,2E,01,17,2.541,05,结束
042E0115,1,04,2E,01,15,4.082,02,检索提取
042E0115,1,04,2E,01,15,13.699,02,检索提取
042E0118,0,04,2E,01,18,1.567,02,检索提取
040O0200,0,04,0O,02,00,0.545,04,值机接收
040O0211,0,04,0O,02,11,0.428,04,值机接收
040O0204,0,04,0O,02,04,11.269,04,值机接收
040O0204,0,04,0O,02,04,3.294,04,值机接收
040O0210,0,04,0O,02,10,18.64,04,值机接收
040O0204,0,04,0O,02,04,2.384,04,值机接收
042E0121,0,04,2E,01,21,18.048,05,结束
042E0117,-1,04,2E,01,17,0.271,05,结束
042E0117,-1,04,2E,01,17,0.288,05,结束
042E0115,1,04,2E,01,15,7.231,02,检索提取
040O0200,0,04,0O,02,00,2.947,04,值机接收
040O0211,0,04,0O,02,11,0.417,04,值机接收
040O0204,0,04,0O,02,04,2.128,04,值机接收
040O0212,0,04,0O,02,12,2.735,04,值机接收
040O0204,0,04,0O,02,04,3.615,04,值机接收
040O0204,0,04,0O,02,04,2.017,04,值机接收
040O0204,0,04,0O,02,04,3.021,04,值机接收
040O0204,0,04,0O,02,04,0.323,04,值机接收
040O0204,0,04,0O,02,04,9.276,04,值机接收
040O0204,0,04,0O,02,04,0.237,04,值机接收
040O0212,0,04,0O,02,12,1.475,04,值机接收
040O0204,0,04,0O,02,04,2.164,04,值机接收
040O0204,0,04,0O,02,04,41.44,04,值机接收
040O0204,0,04,0O,02,04,0.28,04,值机接收
042E0121,0,04,2E,01,21,29.582,05,结束
042E0117,-1,04,2E,01,17,0.229,05,结束
042E0115,1,04,2E,01,15,6.1,02,检索提取
040O0200,0,04,0O,02,00,2.978,04,值机接收
040O0211,0,04,0O,02,11,0.401,04,值机接收
040O0204,0,04,0O,02,04,10.331,04,值机接收
042E0121,0,04,2E,01,21,20.284,05,结束
042E0117,-1,04,2E,01,17,0.295,05,结束
042E0105,1,04,2E,01,05,2.803,61,办理历史
042E0117,-1,04,2E,01,17,3.825,05,结束
042E0115,1,04,2E,01,15,11.036,02,检索提取
040O0200,0,04,0O,02,00,3.238,04,值机接收
040O0211,0,04,0O,02,11,0.494,04,值机接收
040O0204,0,04,0O,02,04,9.158,04,值机接收
040O0204,0,04,0O,02,04,4.972,04,值机接收
040O0204,0,04,0O,02,04,0.267,04,值机接收
042E0121,0,04,2E,01,21,13.866,05,结束
042E0117,-1,04,2E,01,17,0.266,05,结束
042E0117,-1,04,2E,01,17,0.419,05,结束
042E0115,1,04,2E,01,15,1.566,02,检索提取
042E0146,0,04,2E,01,46,1.745,09,重打牌
042E0146,0,04,2E,01,46,0.553,09,重打牌
040O0200,0,04,0O,02,00,4.439,04,值机接收
040O0211,0,04,0O,02,11,0.415,04,值机接收
040O0204,0,04,0O,02,04,1.809,04,值机接收
042E0121,0,04,2E,01,21,23.033,05,结束
042E0117,-1,04,2E,01,17,0.467,05,结束
042E0115,1,04,2E,01,15,12.121,02,检索提取
040O0200,0,04,0O,02,00,2.394,04,值机接收
040O0211,0,04,0O,02,11,0.438,04,值机接收
040O0204,0,04,0O,02,04,4.089,04,值机接收
042E0121,0,04,2E,01,21,23.896,05,结束
042E0117,-1,04,2E,01,17,0.358,05,结束
042E0115,1,04,2E,01,15,4.628,02,检索提取
040O0200,0,04,0O,02,00,2.351,04,值机接收
040O0211,0,04,0O,02,11,0.438,04,值机接收
040O0204,0,04,0O,02,04,4.01,04,值机接收
042E0121,0,04,2E,01,21,20.75,05,结束
042E0117,-1,04,2E,01,17,0.294,05,结束
042E0117,-1,04,2E,01,17,0.492,05,结束
042E0115,1,04,2E,01,15,7.51,02,检索提取
042E0146,0,04,2E,01,46,2.025,09,重打牌
042E0146,0,04,2E,01,46,0.508,09,重打牌
040O0200,0,04,0O,02,00,0.677,04,值机接收
040O0211,0,04,0O,02,11,0.451,04,值机接收
040O0204,0,04,0O,02,04,1.937,04,值机接收
042E0121,0,04,2E,01,21,19.36,05,结束
042E0117,-1,04,2E,01,17,0.349,05,结束
042E0115,1,04,2E,01,15,6.18,02,检索提取
040O0200,0,04,0O,02,00,1.499,04,值机接收
040O0211,0,04,0O,02,11,0.411,04,值机接收
040O0204,0,04,0O,02,04,4.07,04,值机接收
040O0204,0,04,0O,02,04,35.937,04,值机接收
042E0121,0,04,2E,01,21,15.615,05,结束
042E0117,-1,04,2E,01,17,0.237,05,结束
042E0115,1,04,2E,01,15,17.314,02,检索提取
040O0200,0,04,0O,02,00,1.81,04,值机接收
040O0211,0,04,0O,02,11,0.463,04,值机接收
040O0204,0,04,0O,02,04,6.574,04,值机接收
040O0204,0,04,0O,02,04,34.129,04,值机接收
042E0121,0,04,2E,01,21,18.371,05,结束
042E0117,-1,04,2E,01,17,0.32,05,结束
042E0115,1,04,2E,01,15,17.523,02,检索提取
040O0200,0,04,0O,02,00,4.555,04,值机接收
040O0211,0,04,0O,02,11,0.45,04,值机接收
042E0121,0,04,2E,01,21,3.892,05,结束
040O0200,0,04,0O,02,00,0.682,04,值机接收
040O0211,0,04,0O,02,11,0.412,04,值机接收
040O0204,0,04,0O,02,04,5.716,04,值机接收
042E0121,0,04,2E,01,21,17.052,05,结束
042E0117,-1,04,2E,01,17,0.306,05,结束
042E0115,1,04,2E,01,15,6.583,02,检索提取
040O0200,0,04,0O,02,00,1.404,04,值机接收
040O0211,0,04,0O,02,11,0.437,04,值机接收
040O0204,0,04,0O,02,04,7.42,04,值机接收
040O0204,0,04,0O,02,04,3.743,04,值机接收
042E0121,0,04,2E,01,21,29.638,05,结束
042E0117,-1,04,2E,01,17,0.28,05,结束
042E0117,-1,04,2E,01,17,2.496,05,结束
042E0117,-1,04,2E,01,17,0.352,05,结束
042E0115,1,04,2E,01,15,5.356,02,检索提取
040O0200,0,04,0O,02,00,1.396,04,值机接收
040O0211,0,04,0O,02,11,0.415,04,值机接收
040O0204,0,04,0O,02,04,3.604,04,值机接收
040O0212,0,04,0O,02,12,2.287,04,值机接收
040O0204,0,04,0O,02,04,9.153,04,值机接收
040O0204,0,04,0O,02,04,2.895,04,值机接收
040O0204,0,04,0O,02,04,0.135,04,值机接收
042E0121,0,04,2E,01,21,26.982,05,结束
042E0117,-1,04,2E,01,17,0.223,05,结束
042E0115,1,04,2E,01,15,8.383,02,检索提取
042E0115,1,04,2E,01,15,3.065,02,检索提取
042E0118,0,04,2E,01,18,1.316,02,检索提取
040O0200,0,04,0O,02,00,1.494,04,值机接收
040O0211,0,04,0O,02,11,0.445,04,值机接收
040O0204,0,04,0O,02,04,10.471,04,值机接收
040O0204,0,04,0O,02,04,4.827,04,值机接收
040O0204,0,04,0O,02,04,1.548,04,值机接收
042E0121,0,04,2E,01,21,21.517,05,结束
042E0117,-1,04,2E,01,17,0.294,05,结束
042E0117,-1,04,2E,01,17,0.182,05,结束
042E0115,1,04,2E,01,15,6.927,02,检索提取
042E0115,1,04,2E,01,15,3.048,02,检索提取
042E0189,0,04,2E,01,89,1.354,02,检索提取
042E0115,1,04,2E,01,15,1.345,02,检索提取
042E0189,0,04,2E,01,89,1.333,02,检索提取
042E0115,1,04,2E,01,15,1.744,02,检索提取
042E0118,0,04,2E,01,18,1.299,02,检索提取
040O0200,0,04,0O,02,00,1.41,04,值机接收
040O0211,0,04,0O,02,11,0.466,04,值机接收
040O0204,0,04,0O,02,04,6.643,04,值机接收
040O0204,0,04,0O,02,04,4.525,04,值机接收
040O0210,0,04,0O,02,10,21.163,04,值机接收
040O0204,0,04,0O,02,04,2.45,04,值机接收
042E0121,0,04,2E,01,21,32.379,05,结束
042E0117,-1,04,2E,01,17,0.31,05,结束
042E0117,-1,04,2E,01,17,0.18,05,结束
042E0115,1,04,2E,01,15,4.342,02,检索提取
042E0117,-1,04,2E,01,17,6.902,05,结束
042E0117,-1,04,2E,01,17,0.305,05,结束
042E0115,1,04,2E,01,15,15.497,02,检索提取
042E0115,1,04,2E,01,15,5.208,02,检索提取
042E0118,0,04,2E,01,18,1.313,02,检索提取
042E0118,0,04,2E,01,18,2.177,02,检索提取
040O0200,0,04,0O,02,00,0.912,04,值机接收
040O0211,0,04,0O,02,11,0.417,04,值机接收
040O0238,0,04,0O,02,38,0.561,09,重打牌
040O0238,0,04,0O,02,38,0.468,09,重打牌
040O0204,0,04,0O,02,04,2.218,04,值机接收
042E0121,0,04,2E,01,21,24.215,05,结束
042E0117,-1,04,2E,01,17,0.331,05,结束
042E0117,-1,04,2E,01,17,1.054,05,结束
042E0117,-1,04,2E,01,17,0.176,05,结束
042E0117,-1,04,2E,01,17,0.187,05,结束
042E0115,1,04,2E,01,15,4.051,02,检索提取
040O0200,0,04,0O,02,00,1.357,04,值机接收
040O0211,0,04,0O,02,11,0.395,04,值机接收
040O0204,0,04,0O,02,04,3.944,04,值机接收
040O0204,0,04,0O,02,04,11.532,04,值机接收
042E0121,0,04,2E,01,21,20.076,05,结束
042E0117,-1,04,2E,01,17,0.228,05,结束
042E0117,-1,04,2E,01,17,0.512,05,结束
042E0115,1,04,2E,01,15,8.8,02,检索提取
040O0200,0,04,0O,02,00,1.987,04,值机接收
040O0211,0,04,0O,02,11,0.433,04,值机接收
040O0204,0,04,0O,02,04,1.905,04,值机接收
040O0204,0,04,0O,02,04,3.389,04,值机接收
01010917,-1,01,01,09,17,19.359,05,结束
042E0117,-1,04,2E,01,17,17.985,05,结束
042E0115,1,04,2E,01,15,3.876,02,检索提取
042E0146,0,04,2E,01,46,2.329,09,重打牌
042E0146,0,04,2E,01,46,0.396,09,重打牌
040O0200,0,04,0O,02,00,0.694,04,值机接收
040O0211,0,04,0O,02,11,0.394,04,值机接收
040O0204,0,04,0O,02,04,5.96,04,值机接收
01010917,-1,01,01,09,17,20.577,05,结束
042E0117,-1,04,2E,01,17,4.848,05,结束
042E0115,1,04,2E,01,15,4.607,02,检索提取
042E0146,0,04,2E,01,46,1.678,09,重打牌
042E0146,0,04,2E,01,46,1.515,09,重打牌
042E0117,-1,04,2E,01,17,2.071,05,结束
042E0117,-1,04,2E,01,17,0.269,05,结束
042E0117,-1,04,2E,01,17,0.179,05,结束
042E0117,-1,04,2E,01,17,2.384,05,结束
042E0117,-1,04,2E,01,17,0.205,05,结束
042E0115,1,04,2E,01,15,16.588,02,检索提取
042E0146,0,04,2E,01,46,2.262,09,重打牌
042E0146,0,04,2E,01,46,0.825,09,重打牌
040O0200,0,04,0O,02,00,2.361,04,值机接收
040O0211,0,04,0O,02,11,0.471,04,值机接收
040O0204,0,04,0O,02,04,3.242,04,值机接收
042E0121,0,04,2E,01,21,16.573,05,结束
01010917,-1,01,01,09,17,1.505,05,结束
042E0115,1,04,2E,01,15,6.064,02,检索提取
042E0146,0,04,2E,01,46,1.901,09,重打牌
042E0146,0,04,2E,01,46,0.442,09,重打牌
042E0117,-1,04,2E,01,17,4.776,05,结束
042E0117,-1,04,2E,01,17,0.303,05,结束
042E0117,-1,04,2E,01,17,0.192,05,结束
042E0115,1,04,2E,01,15,6.412,02,检索提取
042E0146,0,04,2E,01,46,2.181,09,重打牌
042E0146,0,04,2E,01,46,0.457,09,重打牌
040O0200,0,04,0O,02,00,0.5,04,值机接收
040O0211,0,04,0O,02,11,0.496,04,值机接收
040O0204,0,04,0O,02,04,1.41,04,值机接收
042E0121,0,04,2E,01,21,18.117,05,结束
042E0117,-1,04,2E,01,17,0.236,05,结束
042E0117,-1,04,2E,01,17,0.289,05,结束
042E0117,-1,04,2E,01,17,4.817,05,结束
042E0117,-1,04,2E,01,17,0.192,05,结束
042E0115,1,04,2E,01,15,11.744,02,检索提取
040O0200,0,04,0O,02,00,6.376,04,值机接收
040O0211,0,04,0O,02,11,0.563,04,值机接收
040O0204,0,04,0O,02,04,3.537,04,值机接收
040O0280,0,04,0O,02,80,5.248,15,客票详情
040O0200,0,04,0O,02,00,8.238,04,值机接收
040O0212,0,04,0O,02,12,13.674,04,值机接收
040O0285,0,04,0O,02,85,1.257,22,证件校验
042F0817,0,04,2F,08,17,8.519,12,管理旅客备注
042F0813,0,04,2F,08,13,8.99,22,证件校验
040O0200,0,04,0O,02,00,3.918,04,值机接收
040O0212,0,04,0O,02,12,1.946,04,值机接收
040O0204,0,04,0O,02,04,0.773,04,值机接收
040O0204,0,04,0O,02,04,4.592,04,值机接收
040O0204,0,04,0O,02,04,0.264,04,值机接收
040O0212,0,04,0O,02,12,13.577,04,值机接收
042E0121,0,04,2E,01,21,1.387,05,结束
042E0117,-1,04,2E,01,17,0.529,05,结束
042E0117,-1,04,2E,01,17,0.481,05,结束
042E0115,1,04,2E,01,15,2.431,02,检索提取
042E0115,1,04,2E,01,15,7.162,02,检索提取
042E0118,0,04,2E,01,18,1.301,02,检索提取
040O0200,0,04,0O,02,00,0.659,04,值机接收
040O0211,0,04,0O,02,11,0.461,04,值机接收
040O0204,0,04,0O,02,04,11.027,04,值机接收
040O0204,0,04,0O,02,04,3.2,04,值机接收
01010917,-1,01,01,09,17,18.224,05,结束
042E0115,1,04,2E,01,15,5.32,02,检索提取
040O0200,0,04,0O,02,00,1.193,04,值机接收
040O0211,0,04,0O,02,11,0.352,04,值机接收
040O0204,0,04,0O,02,04,3.059,04,值机接收
040O0204,0,04,0O,02,04,3.053,04,值机接收
