business_id,BP,KC,PG,BT,DIST,SUB,business_class,class_name,target
01010917,1,1,9,17,27.4955,45.461,5,结束,4
042E0115,4,214,1,15,213.1807,10.041,2,检索提取,1
042E0146,4,214,1,46,31.0,1.754,9,重打牌,3
042E0146,4,214,1,46,0.0,0.537,9,重打牌,0
040O0200,4,24,2,0,195.4917,0.71,4,值机接收,1
040O0211,4,24,2,11,11.0,0.455,4,值机接收,0
040O0204,4,24,2,4,7.0,1.93,4,值机接收,0
01010917,1,1,9,17,27.4955,22.128,5,结束,3
042E0117,4,214,1,17,213.1713,0.398,5,结束,1
042E0115,4,214,1,15,2.0,5.693,2,检索提取,0
042E0115,4,214,1,15,0.0,22.772,2,检索提取,4
042E0171,4,214,1,71,56.0,10.113,22,证件校验,2
042F0801,4,215,8,1,70.3562,6.144,22,证件校验,2
042F0812,4,215,8,12,11.0,3.064,22,证件校验,0
040O0211,4,24,2,11,191.0968,0.607,4,值机接收,1
040O0285,4,24,2,85,74.0,20.248,22,证件校验,2
040O0200,4,24,2,0,85.0,5.367,4,值机接收,2
040O0212,4,24,2,12,12.0,9.858,4,值机接收,0
040O0204,4,24,2,4,8.0,3.701,4,值机接收,0
040O0280,4,24,2,80,76.0,24.13,15,客票详情,2
040O0200,4,24,2,0,80.0,5.732,4,值机接收,2
01010917,1,1,9,17,29.5973,0.889,5,结束,3
042E0115,4,214,1,15,213.1807,2.108,2,检索提取,1
040O0200,4,24,2,0,190.5938,2.23,4,值机接收,1
040O0211,4,24,2,11,11.0,0.493,4,值机接收,0
040O0204,4,24,2,4,7.0,12.983,4,值机接收,0
040O0204,4,24,2,4,0.0,19.469,4,值机接收,4
040O0204,4,24,2,4,0.0,0.617,4,值机接收,0
042E0121,4,214,1,21,190.7616,18.074,5,结束,1
042E0117,4,214,1,17,4.0,1.165,5,结束,0
042E0105,4,214,1,5,12.0,0.626,61,办理历史,0
042E0105,4,214,1,5,0.0,1.641,61,办理历史,0
01010917,1,1,9,17,213.5088,4.354,5,结束,1
042E0115,4,214,1,15,213.1807,13.499,2,检索提取,1
040O0200,4,24,2,0,190.5938,2.676,4,值机接收,1
040O0211,4,24,2,11,11.0,0.489,4,值机接收,0
040O0204,4,24,2,4,7.0,8.266,4,值机接收,0
01010917,1,1,9,17,27.4955,12.449,5,结束,3
042E0115,4,214,1,15,213.1807,2.882,2,检索提取,1
040O0200,4,24,2,0,190.5938,9.997,4,值机接收,1
